calories,cook,directions,ingredients,name,prep,rating,ready in,url,keyword,veg/nonveg,core
160.0,2 mins,"1. Place the nectarines, brown sugar and buttermilk in the bowl of a blender and blend until smooth. Serve immediately.","2 nectarines, pitted and chopped, 2 tablespoons brown sugar, 1 cup buttermilk",Nectarine Blush,2 mins,4.5,4 mins,https://www.allrecipes.com/recipe/142435/nectarine-blush/,"['nectarine', 'sugar', 'buttermilk']",veg,"['nectarine', 'sugar', 'buttermilk']"
209.0,,"1. Spoon pumpkin puree into a resealable bag and freeze, 8 hours to overnight. 2. Remove pumpkin from freezer and allow to soften at room temperature, 5 to 10 minutes. 3. Pour milk into the blender; add pumpkin, banana, brown sugar, cinnamon, and vanilla extract. Blend until smooth, about 3 minutes.","1 cup pumpkin puree, 1 cup milk, 1 banana, sliced, 2 tablespoons brown sugar, ¼ teaspoon ground cinnamon, ¼ teaspoon vanilla extract",Pumpkin Banana Smoothie,10 mins,4.5,8 hrs 15 mins,https://www.allrecipes.com/recipe/234159/pumpkin-banana-smoothie/,"['pumpkin', 'milk', 'banana', 'sugar', 'cinnamon', 'vanilla']",veg,"['pumpkin', 'milk', 'banana', 'sugar', 'cinnamon', 'vanilla']"
260.0,,"1. In a blender or food processor, combine milk, vanilla, sugar, coffee powder and crushed ice. Blend until smooth. Pour into glasses and serve.","¾ cup milk, 1 teaspoon vanilla extract, 3 tablespoons granulated sugar, 3 tablespoons mocha flavored instant coffee mix, 1 cup crushed ice",Iced Mocha Fusion Shake,5 mins,4.5,5 mins,https://www.allrecipes.com/recipe/25847/iced-mocha-fusion-shake/,"['milk', 'vanilla', 'sugar', 'coffee', 'ice']",veg,"['milk', 'vanilla', 'sugar', 'coffee', 'ice']"
317.0,,"1. Combine milk, berries, brown sugar, grape juice, vanilla extract, and ice cube in a blender; blend until smooth.","1 cup milk, 1 cup frozen berries (marionberries, raspberries, and blueberries), 2 tablespoons dark brown sugar, 2 tablespoons white grape juice, 1 teaspoon vanilla extract, 1 ice cube",Frozen Berry Smoothie,5 mins,5.0,5 mins,https://www.allrecipes.com/recipe/246930/frozen-berry-smoothie/,"['milk', 'berry', 'raspberry', 'sugar', 'grape', 'vanilla', 'ice']",veg,"['milk', 'berry', 'raspberry', 'sugar', 'grape', 'vanilla', 'ice']"
433.0,,"1. Blend kale, banana, coconut milk, and strawberries together in a blender until smooth.","2 cups chopped kale, 1 banana, cut into chunks, ½ cup coconut milk, ½ cup frozen strawberries, or more to taste",Quick Kale and Banana Smoothie,10 mins,4.5,10 mins,https://www.allrecipes.com/recipe/237154/quick-kale-and-banana-smoothie/,"['kale', 'banana', 'coconut', 'milk', 'strawberry']",veg,"['kale', 'banana', 'coconut', 'milk', 'strawberry']"
151.0,,"1. Blend water, romaine lettuce, cucumber, avocado, celery, spinach, and lemon juice together in a blender on high until smooth, about 30 seconds. Add ice, apple, and banana to blender and blend until smooth, about 30 seconds.","2 cups water, 1 head romaine lettuce, chopped, ½ cucumber, diced, 1 avocado, peeled and pitted, 2 stalks celery, 2 ounces baby spinach leaves, lemon, juiced, 2 cups ice, 1 apple, cored, 1 banana",Good Morning Green Smoothie,10 mins,3.5,10 mins,https://www.allrecipes.com/recipe/242519/good-morning-green-smoothie/,"['water', 'cucumber', 'avocado', 'celery', 'spinach', 'lemon', 'ice', 'apple', 'banana']",veg,"['water', 'cucumber', 'avocado', 'celery', 'spinach', 'lemon', 'ice', 'apple', 'banana']"
298.0,,"1. Combine tea, berries, pineapple, banana, lemon juice, mint, and honey in a blender. Blend until smooth.","1 cup brewed black tea (such as Gold Peak®), chilled, 1 cup frozen mixed berries, 1 cup frozen pineapple chunks, 1 banana, broken into chunks and frozen, ½ lemon, juiced, 3 fresh mint leaves, or more to taste, 1 teaspoon honey (Optional)",Very Berry Tea Smoothie,10 mins,5.0,10 mins,https://www.allrecipes.com/recipe/247303/very-berry-tea-smoothie/,"['tea', 'berry', 'pineapple', 'banana', 'lemon', 'mint', 'honey']",veg,"['tea', 'berry', 'pineapple', 'banana', 'lemon', 'mint', 'honey']"
,,1. Puree all ingredients in a blender until smooth.,"1 cup Almond Breeze Original or Unsweetened Original almondmilk, 1 cup fresh or frozen mango cubes, 1 cup fresh, frozen, or juice-packed pineapple chunks, 1 tablespoon toasted slivered or sliced almonds (Optional), 1 teaspoon ground flax seeds (Optional)",Pineapple Mango Coconut Smoothie,5 mins,5.0,5 mins,https://www.allrecipes.com/recipe/264728/pineapple-mango-coconut-smoothie/,"['almond', 'mango', 'pineapple', 'almond', 'flax']",veg,"['almond', 'mango', 'pineapple', 'almond', 'flax']"
105.0,,"1. Blend ice, orange, limes, lemon, kiwi, and honey together in a blender until smooth.","1 cup ice cubes, 1 orange, peeled, 2 limes, peeled, 1 lemon, peeled, 1 kiwi, peeled, 1 teaspoon honey, or more to taste",Sour Smoothie,10 mins,3.5,10 mins,https://www.allrecipes.com/recipe/235998/sour-smoothie/,"['ice', 'orange', 'lime', 'lemon', 'kiwi', 'honey']",veg,"['ice', 'orange', 'lime', 'lemon', 'kiwi', 'honey']"
315.0,,"1. Blend ice, soy milk, banana, and peanut butter together in a blender until smooth.","2 cups ice, 2 cups chocolate soy milk, 1 large banana, 2 tablespoons creamy peanut butter, or more to taste",Choconananut Smoothie,10 mins,4.5,10 mins,https://www.allrecipes.com/recipe/238146/choconananut-smoothie/,"['ice', 'chocolate', 'soy', 'milk', 'banana', 'peanut', 'butter']",veg,"['ice', 'chocolate', 'soy', 'milk', 'banana', 'peanut', 'butter']"
171.0,,"1. Combine frozen pineapple, coconut milk, turmeric, coconut oil, and sweetener in a blender; blend until smooth.","1 cup fresh frozen pineapple, ¾ cup coconut milk beverage (such as Silk®), 1 teaspoon ground turmeric, ½ teaspoon coconut oil, 1 packet stevia sweetener",Turmeric-Pineapple-Coconut Smoothie,5 mins,4.5,5 mins,https://www.allrecipes.com/recipe/279531/turmeric-pineapple-coconut-smoothie/,"['pineapple', 'coconut', 'milk', 'turmeric', 'coconut', 'oil']",veg,"['pineapple', 'coconut', 'milk', 'turmeric', 'coconut', 'oil']"
339.0,,"1. Combine yogurt, frozen banana, Nutella®, and ice in a high-powered blender; blend until smooth.","⅓ cup vanilla fat-free yogurt, 1 medium ripe banana, cut into 1/4-inch slices and frozen, 2 tablespoons chocolate-hazelnut spread (such as Nutella®), 1 cup ice cubes",Nutella® and Banana Smoothie,5 mins,,5 mins,https://www.allrecipes.com/recipe/284830/nutella-and-banana-smoothie/,"['vanilla', 'yogurt', 'banana', 'ice']",veg,"['vanilla', 'yogurt', 'banana', 'ice']"
239.0,,"1. Pour prune juice into a blender. Layer Greek yogurt, spinach, blueberries, strawberries, peach, and flax seeds in the blender, in this order. Start blender on low speed and gradually increase speed until smoothie is well blended.","1 cup prune juice, 3 tablespoons vanilla Greek yogurt, 1 cup fresh spinach, or to taste, 1 cup frozen blueberries, or to taste, 6 frozen strawberries, ½ sliced frozen peach, 2 tablespoons flax seeds",Morning Energy Booster Smoothie,10 mins,4.0,10 mins,https://www.allrecipes.com/recipe/244799/morning-energy-booster-smoothie/,"['prune', 'vanilla', 'yogurt', 'spinach', 'blueberry', 'strawberry', 'peach', 'flax']",veg,"['prune', 'vanilla', 'yogurt', 'spinach', 'blueberry', 'strawberry', 'peach', 'flax']"
162.0,,"1. Blend vanilla yogurt, milk, and raspberry jam in a blender until smooth, about 1 minute.","1 ½ cups vanilla yogurt, ½ cup whole milk, 2 tablespoons seedless raspberry jam",Super Easy Drinkable Fruit Yogurt Shakes,5 mins,4.5,5 mins,https://www.allrecipes.com/recipe/228855/super-easy-drinkable-fruit-yogurt-shakes/,"['vanilla', 'yogurt', 'milk', 'raspberry', 'jam']",veg,"['vanilla', 'yogurt', 'milk', 'raspberry', 'jam']"
317.0,,"1. Combine watermelon, blueberries, banana, and cucumber in an electric blender and blend well. Add spinach last and blend until smoothie gets creamy, about 30 seconds.","2 cups cubed seeded watermelon, 1 cup frozen blueberries, 1 medium banana, ½ cucumber, sliced, 3 cups fresh baby spinach",Blueberry-Watermelon Smoothie,15 mins,,15 mins,https://www.allrecipes.com/recipe/280891/blueberry-watermelon-smoothie/,"['watermelon', 'blueberry', 'banana', 'cucumber', 'spinach']",veg,"['watermelon', 'blueberry', 'banana', 'cucumber', 'spinach']"
573.0,1 hr 15 mins,"1. Fill a saucepan about halfway with water, and bring to a boil. Add the tapioca pearls, and return to a boil. Stir to make sure they do not start to stick together or to the pot. Cover, and simmer over medium heat for 45 minutes. Remove from the heat and let stand for 30 minutes, then rinse and drain. The pearls should be squishy and black. Stir some of the honey into the pearls so they are coated. 2. Place the milk, any remaining honey, tea mix, and ice into the container of a blender. Cover, and blend to your desired slushiness. Pour the tea into two large glasses. Spoon half of the tapioca pearls into each glass. If you can find extra wide straws, place one into each drink to suck up the pearls and chew on them while you are drinking.","1 cup large tapioca pearls, 1 cup milk, 1 cup chai tea mix, 2 cups ice, 3 tablespoons honey, or to taste",Bubble Tea,5 mins,3.5,1 hr 20 mins,https://www.allrecipes.com/recipe/81186/bubble-tea/,"['tapioca', 'milk', 'tea', 'ice', 'honey']",veg,"['milk', 'tea', 'ice', 'honey']"
373.0,,"1. Combine blueberries, milk, strawberries, sugar, oats, and yogurt in a blender; blend until smooth. Add ice; blend until smooth.","1 cup frozen blueberries, ¾ cup skim milk, 5 large strawberries, ½ cup white sugar, ½ cup rolled oats, ¼ cup vanilla and honey Greek yogurt (such as Chobani®), 1 cup ice, or to taste",Strawberry and Blueberry Oatmeal Health Shake,5 mins,4.5,5 mins,https://www.allrecipes.com/recipe/254557/strawberry-and-blueberry-oatmeal-health-shake/,"['blueberry', 'milk', 'strawberry', 'sugar', 'oat', 'vanilla', 'honey', 'yogurt', 'ice']",veg,"['blueberry', 'milk', 'strawberry', 'sugar', 'oat', 'vanilla', 'honey', 'yogurt', 'ice']"
394.0,,"1. Blend strawberries, pineapple, yogurt, coconut water, and acai pulp in a blender until smooth; pour into a bowl. Top smoothie with kiwi, banana, blueberries, raspberries, almonds, granola, and chia seeds.","1 cup frozen strawberries, 1 cup frozen pineapple chunks, 1 cup plain Greek yogurt, ½ cup coconut water, 2 tablespoons frozen acai berry pulp, or as desired, 1 kiwi, peeled and sliced, ½ banana, sliced, ½ cup fresh blueberries, ½ cup fresh raspberries, 2 tablespoons sliced almonds, 2 tablespoons granola, 1 teaspoon chia seeds (Optional)",Berry Smoothie Bowl,10 mins,5.0,10 mins,https://www.allrecipes.com/recipe/244826/berry-smoothie-bowl/,"['strawberry', 'pineapple', 'yogurt', 'coconut', 'water', 'berry', 'kiwi', 'banana', 'blueberry', 'raspberry', 'almond', 'chia']",veg,"['strawberry', 'pineapple', 'yogurt', 'coconut', 'water', 'berry', 'kiwi', 'banana', 'blueberry', 'raspberry', 'almond', 'chia']"
222.0,,"1. Place all ingredients, except Reddi-wip, in blender container; blend until smooth. 2. Divide evenly among 4 glasses; top each with 1 serving Reddi-wip. Serve immediately.","2 (3.25 ounce) cups Snack Pack® Chocolate Pudding, 2 tablespoons Peter Pan® Creamy Peanut Butter, 2 large ripe bananas, cut into pieces, ¾ cup reduced fat (2%) milk, 1 cup ice cubes, Reddi-wip® Chocolate Dairy Whipped Topping",Chocolate Peanut Butter Banana Smoothies,5 mins,4.5,5 mins,https://www.allrecipes.com/recipe/254284/chocolate-peanut-butter-banana-smoothies/,"['chocolate', 'peanut', 'butter', 'banana', 'milk', 'ice', 'chocolate']",veg,"['chocolate', 'peanut', 'butter', 'banana', 'milk', 'ice', 'chocolate']"
237.0,,"1. Combine cucumber, honeydew melon, passion fruit juice, and ice in a blender. Pull leaves from mint springs and add to blender. Blend mixture until smooth. Pour into tall glasses.","1 cucumber, peeled, seeded and chopped, 2 cups cubed honeydew melon, 2 cups passion fruit juice, 8 sprigs fresh mint, or amount to taste, 2 cups crushed ice",Cucumber-Honeydew Smoothie,15 mins,4.5,15 mins,https://www.allrecipes.com/recipe/145789/cucumber-honeydew-smoothie/,"['cucumber', 'honeydew', 'mint', 'ice']",veg,"['cucumber', 'honeydew', 'mint', 'ice']"
209.0,,"1. Blend the strawberries, orange pieces, apple juice, vanilla yogurt, and almonds together in a blender until smooth.","¾ cup frozen strawberries, ½ orange, peeled, ½ cup apple juice, ¼ cup vanilla yogurt, 1 teaspoon finely ground almonds",Strawberry Sensation Smoothie,10 mins,4.5,10 mins,https://www.allrecipes.com/recipe/203228/strawberry-sensation-smoothie/,"['strawberry', 'orange', 'apple', 'vanilla', 'yogurt', 'almond']",veg,"['strawberry', 'orange', 'apple', 'vanilla', 'yogurt', 'almond']"
296.0,,"1. Place banana, berries, kale, orange juice, water, yogurt, and almonds into a blender. Cover and puree until smooth, 20 to 30 seconds.","1 banana, broken into chunks, ½ cup mixed frozen berries, ½ cup shredded kale, ½ cup orange juice, ½ cup water, 2 tablespoons plain yogurt, 10 almonds (Optional)",Kale and Berries Breakfast Smoothie,5 mins,4.5,5 mins,https://www.allrecipes.com/recipe/241557/kale-and-berries-breakfast-smoothie/,"['banana', 'berry', 'kale', 'orange', 'water', 'yogurt', 'almond']",veg,"['banana', 'berry', 'kale', 'orange', 'water', 'yogurt', 'almond']"
178.0,,"1. Blend the carrot, banana, kiwi, apple, pineapple, and ice cubes in a blender until smooth.","1 cup chopped carrot, 1 banana, 1 kiwi, peeled, 1 apple - peeled, cored, and sliced, 1 cup chopped pineapple, 1 cup ice cubes",Caribbean Health Drink,10 mins,4.0,10 mins,https://www.allrecipes.com/recipe/204423/caribbean-health-drink/,"['carrot', 'banana', 'kiwi', 'apple', 'pineapple', 'ice']",veg,"['carrot', 'banana', 'kiwi', 'apple', 'pineapple', 'ice']"
